项目名，标题，兑换码，视频链接，发布时间，发布平台，账号名称，文案/脚本，爆款数据，爆款原因，可学习点，标签，分析状态
原神，3.5 版本最新兑换码，GENSHIN2026,https://example.com/video1,2026-03-17,,,,,,,待分析
崩坏星穹铁道，2.0 兑换码合集，HSR2026FREE,https://example.com/video2,2026-03-16,,,,,,,待分析
绝区零，新版本福利码，ZZZ0317,https://example.com/video3,2026-03-15,,,,,,,待分析

```

**使用说明**：
1. 用 Excel/Numbers/WPS 打开此文件
2. 哥哥只需填写前 5 列（灰色部分）：项目名、标题、兑换码、视频链接、发布时间
3. 后 8 列由小媒自动分析补充
4. 保存后，小媒定期扫描"待分析"的记录进行处理

**字段说明**：
- **项目名**：游戏名称（如：原神、崩坏星穹铁道、绝区零）
- **标题**：视频标题
- **兑换码**：视频里的兑换码
- **视频链接**：原视频 URL（抖音/B 站/小红书等）
- **发布时间**：视频发布日期
- **发布平台**：小媒自动识别（抖音/B 站/小红书/视频号）
- **账号名称**：小媒自动抓取作者
- **文案/脚本**：小媒提取视频内容
- **爆款数据**：小媒抓取点赞/播放/评论数
- **爆款原因**：小媒分析总结
- **可学习点**：小媒提炼方法论
- **标签**：小媒自动打标签（#兑换码 #原神 #福利）
- **分析状态**：待分析/已完成
